,0.50,1,2,4,12,24,48,72
Pyruvate,1.19,1.32,0.86,0.68,0.54,1.84,3.23,3.63
Lactate,0.87,1.26,0.98,0.67,0.53,4.94,3.67,12.75
Phosphorate,1.29,0.92,0.95,1.21,1.19,1.92,0.96,0.55
n-Butylamine,1.09,1.08,1.07,0.96,0.95,1.05,1.03,1.07
Ethanolamine,1.31,1.45,1.18,1.22,0.52,0.59,0.31,0.26
Glycerol,1.61,0.72,0.68,1.91,1.42,3.30,0.90,1.40
Succinate,0.75,1.08,0.80,0.55,0.39,0.21,0.87,1.62
Glycerate,1.17,0.82,0.58,0.97,1.18,1.60,1.35,0.70
Fumarate,0.82,0.92,0.72,0.70,0.53,0.23,0.91,2.30
Cadaverine,1.06,1.00,1.07,0.89,0.92,0.91,1.08,0.96
Malate,0.79,1.11,0.87,0.73,0.62,1.17,0.82,2.27
4-Aminobutyrate,0.87,1.26,1.21,0.87,0.77,1.01,0.92,1.70
Cysteine,1.03,1.50,1.34,0.97,0.74,0.27,1.23,0.78
_-Ketoglutarate,1.17,0.99,0.90,0.91,0.84,0.47,1.88,1.84
Aconitate,1.50,0.91,1.00,1.71,0.95,0.70,0.37,0.82
Putrescine,0.60,0.94,0.82,0.92,0.87,0.49,0.80,0.56
Ribonate,1.01,1.00,0.92,0.87,0.83,0.78,0.84,0.81
Shikimate,0.71,0.90,0.60,0.54,0.53,0.37,0.76,2.02
Citrate,1.10,1.15,1.60,1.24,1.00,0.34,0.61,0.76
D-fructose,0.72,1.05,0.89,0.64,0.26,0.62,0.85,1.59
Glucose,0.97,1.02,1.02,0.85,0.85,0.38,0.63,0.58
Lysine,1.32,1.74,1.85,1.28,0.70,0.26,0.97,0.25
Tyrosine,1.81,3.71,3.64,1.25,0.76,0.26,0.84,0.14
Gluconate,0.95,1.08,1.00,0.85,0.70,0.36,0.51,0.48
Galactonate,1.07,0.94,0.95,0.90,0.78,0.56,0.75,0.71
Inositol,1.03,0.88,0.83,0.88,1.00,2.37,1.63,1.60
Urate,0.76,1.52,2.50,0.74,0.52,0.78,1.76,1.46
Sucrose,0.86,1.10,1.49,0.89,1.08,0.53,2.12,10.03
Trehalose,1.11,0.96,0.88,0.75,0.90,0.73,0.87,1.42
Aspartate,0.77,0.74,0.80,1.14,0.70,0.53,0.59,0.38
Asparagine,1.01,0.97,1.17,0.95,0.74,1.00,0.87,0.46
Serine,0.79,0.82,0.94,0.90,0.82,0.82,0.88,0.80
Glycine,0.91,0.85,0.96,0.82,0.78,0.81,0.97,0.87
Alanine,0.92,0.86,0.85,0.91,0.71,1.31,1.30,1.38
Glutamate,0.46,0.55,0.48,0.71,0.52,0.69,0.59,0.61
Glutamine,0.45,0.63,0.61,0.73,0.75,0.72,0.60,0.37
Threonine,0.90,1.04,1.08,0.98,0.89,1.16,1.01,0.54
Proline,0.96,1.04,0.93,0.80,0.95,1.08,0.97,0.64
Valine,0.81,1.01,1.01,1.01,0.85,0.69,0.70,0.43
Tryptophan,1.31,2.34,2.18,1.11,1.01,0.37,0.45,0.24
Isoleucine,1.07,1.21,1.20,1.12,0.92,0.85,1.04,0.16
Leucine,1.11,1.15,1.22,1.20,0.89,0.56,0.72,0.22
Phenylalanine,1.47,1.88,1.60,1.31,0.66,0.29,0.50,0.61
Formate,1.02,0.92,1.10,1.09,1.01,1.08,1.41,1.29
SAM,1.38,1.82,1.47,1.39,0.92,1.08,0.89,0.60
SAH,1.09,0.96,1.02,0.85,1.29,1.65,1.60,1.53
Methylation,1.25,1.88,1.45,1.63,0.71,0.65,0.56,0.39
Folate,0.93,0.90,0.88,0.87,0.94,0.89,0.94,1.01